,job_unique_id,cluster_id,submit_time,partition_id_x,account_id,req_cpus,req_mem_total,alloc_nodes,eligible_time,elapsed_time,req_mem_per_cpu,poll_time,pending_id,partition_id_y,priority_y,q_jobs_above,q_cores_above,q_mem_above,q_core_hours_above,q_p_jobs_above,q_p_cores_above,q_p_mem_above,q_p_core_hours_above,q_a_jobs_above,q_a_cores_above,q_a_mem_above,q_a_core_hours_above,q_p_a_jobs_above,q_p_a_cores_above,q_p_a_mem_above,q_p_a_core_hours_above,q_gpus_above,q_p_gpus_above,q_a_gpus_above,q_p_a_gpus_above,q_gpu_hours_above,q_p_gpu_hours_above,q_a_gpu_hours_above,q_p_a_gpu_hours_above,q_gpu_run_hours,q_p_gpu_run_hours,q_a_gpu_run_hours,q_p_a_gpu_run_hours,running_id,r_jobs_above,r_cores_above,r_mem_above,r_core_hours_above,r_p_jobs_above,r_p_cores_above,r_p_mem_above,r_p_core_hours_above,r_a_jobs_above,r_a_cores_above,r_a_mem_above,r_a_core_hours_above,r_p_a_jobs_above,r_p_a_cores_above,r_p_a_mem_above,r_p_a_core_hours_above,r_gpus_above,r_p_gpus_above,r_a_gpus_above,r_p_a_gpus_above,r_gpu_hours_above,r_p_gpu_hours_above,r_a_gpu_hours_above,r_p_a_gpu_hours_above,sshare_id,raw_share_poll,norm_share_poll,raw_use_poll,effect_use_poll,level_fs_poll,norm_use_poll,norm_use_log_poll,poll_wait_sec
0,66538639,4,2021-09-03 08:00:00,33,11485,49,15106946,278,2021-09-03 08:00:00,1328527,2045252.029447171,2021-09-03 12:00:00,62057133,3,0.0005323213998357,21610,600726,490459886,13369974.380781028,7944,51802,2301181225,2045759.5045956527,10466,245556,980351133,4528252.356386905,6599,106872,584066137,112076.53289259484,3926,1204,2930,2086,95165.48493180276,52962.33504789566,29309.070138867388,98367.6734945634,21415.397662793486,5316.392731832563,17769.749063634892,16482.358627656795,71848394,8057,37229,45566024,3631100.426244081,4701,439,47324063,1200943.27057448,2053,1483,18195577,1440982.8585122027,2177,8478,52473808,378817.22712494,137,481,58,228,45725.42254798942,8777.586485054735,9451.014363902632,2326.8953369774526,7694176,3915003,0.0030790912242565,1797126999,0.0193264567066181,838.522791305143,19.803821347242373,0.1156891673428628,1127737
1,66801852,4,2021-09-03 08:00:10,34,18843,80,2457295,105,2021-09-03 08:00:10,3645916,1142263.3408723483,2021-09-03 12:00:00,65228031,57,0.0005061895466235,24639,657625,1744944308,14901990.76651391,1662,242273,665875500,2904901.2909055958,12452,253296,688979,1970092.8718061603,5737,69384,234389168,269147.7710804313,6851,4728,2869,55,21795.682988781016,101642.91868581716,73929.44753329433,93822.0662406733,66144.80233531701,45787.1913095232,22438.318189044687,13907.004533291469,58850339,3592,58686,269922003,4816676.377712204,4720,14258,94910141,-100303.66499326048,2540,4713,40949568,983841.9186396112,62,111,66246237,695974.8479017841,874,568,330,196,15727.88176138972,11440.788827730345,5548.938951954828,795.5499441173865,5232271,4030912,0.0218314671495462,783408622,0.0485527909281827,44.74744129346498,60.91099647423664,1.1821821075883872,3176755
2,68467016,4,2021-09-03 08:00:20,22,6407,62,7350392,119,2021-09-03 08:00:20,2699869,1307961.6873564906,2021-09-03 12:00:00,33672031,11,0.0003698751058927,21001,200323,3784619665,1867614.6310099969,11303,12944,1389721858,1253855.230997183,826,205076,820626996,1438921.0140789498,5269,67247,76293789,1051560.912816507,660,1953,437,3840,175140.58128864813,56852.34433570204,54927.01959512739,98429.51084470985,29630.512872454517,33196.15229055856,28102.08801649887,31754.324737167288,41389370,11662,51963,47797846,3420799.9924911144,1266,18268,79608151,2367129.014481853,1609,10587,40641223,373615.548322772,1566,11281,25751152,154324.86521891956,155,549,277,325,746.4542924811833,10.156257438252975,5496.833576613783,6374.038197607613,12409820,10313291,0.0847051374533366,635688396,0.0262564614246601,909.350134938979,54.97752049695971,-2.202477498627501,2442870
3,61153935,4,2021-09-03 08:00:30,5,17805,78,3250854,207,2021-09-03 08:00:30,2875079,1972118.133746764,2021-09-03 12:00:00,69171125,50,0.0003611631941252,5335,706491,1186644741,11002895.71719144,1461,142981,1220221103,2368719.652175396,9623,32580,397341698,3953557.453779743,6645,36078,230354552,755456.2402297833,6230,4073,793,1132,63577.97883672285,121015.01189541948,46881.9294183714,40666.60586556415,9693.33399659295,24942.644033404627,3818.7102314362014,26520.55417114093,42696082,10085,56946,21548956,5597356.736593791,1379,10528,105143763,1717912.9199668835,2898,2482,52184258,1436999.674829094,96,4454,53680497,518976.653351599,1152,407,135,129,17159.191353029455,5855.882705583088,14443.922175303636,3694.617127703249,7045968,658866,0.0555211147749803,2614180934,0.0225346391843454,889.3746222746158,55.79684778729348,-3.0802155777492386,2339014
4,58211373,4,2021-09-03 08:00:40,20,19115,4,4672624,45,2021-09-03 08:00:40,434886,1776360.7593847862,2021-09-03 12:00:00,72760009,6,0.0004366234914325,22809,566715,4402331037,11910298.762563296,6404,67965,2716643243,282304.3645250348,3178,171752,461241468,2643529.2227177443,8893,79396,256777865,3844192.394030521,1873,1762,4292,2221,46015.68077850539,26484.794375871817,96115.54541345708,102175.52324029504,30502.582545310022,49328.29384557093,18242.92328037968,14166.282186607055,69281863,11609,48550,103362767,282308.4788985152,4586,17674,35142427,1481460.113023067,1214,8671,27797253,1747607.469193203,1753,12815,55216630,515372.8019989584,1152,166,5,2,24901.59259476255,2300.1232512027345,10335.75915523693,6136.780775258453,10495502,8707982,0.0846515112227371,626787157,0.0173967391205572,413.7067786724411,66.33132620342803,-6.198947323071112,212295
5,58913383,4,2021-09-03 08:00:50,24,8313,20,13000882,262,2021-09-03 08:00:50,2008833,1237823.1924186167,2021-09-03 12:00:00,44904532,23,0.000587553215005,21767,756507,4037707776,6998674.31798534,11479,244984,608472777,4369097.432938332,11715,287296,886496524,4183205.6517459857,2753,99383,467024741,1619189.990275378,4541,156,3188,1077,20992.33665653073,50584.90407322243,84141.4911143451,35921.39169181161,49519.19895821658,15364.963792431552,29364.515585456375,8261.777375638027,45045394,10049,16201,213676178,3269034.212292862,1567,3071,48952635,25761.100898771318,1706,8379,29150089,1749861.2756645463,1110,1637,60918172,562065.868663476,966,366,161,298,10664.375587485552,2013.43609175731,1674.4254173980132,927.456898245873,7981894,10391756,0.082942730632488,585045744,0.0133279116445233,810.7049610008244,15.831337638870895,-5.555716432271173,1758400
6,65691371,4,2021-09-03 08:01:00,40,11568,73,17982433,211,2021-09-03 08:01:00,1138427,1783406.2393017109,2021-09-03 12:00:00,29572803,53,0.000421764447781,27847,842945,5433119934,6292535.2824958,12640,133304,2784942484,250767.30102906836,16425,204548,851650923,3693501.650226328,2234,37559,236905727,3594953.143773227,44,2666,1461,69,154775.7172667532,104159.25557818584,33616.65436485129,17891.025789384144,69546.89982763663,33452.69865094134,38143.72356480237,3865.3275399887143,59931602,3181,70117,83394922,1716892.2571879309,3018,9103,54659555,209365.81694974864,2578,5562,61930169,955457.8457314866,416,11552,16456352,935704.1679196008,991,325,284,19,15373.785661807417,2022.3997190439584,12609.484266277175,3754.6573461495377,12504007,10509570,0.0541673048168698,2798060059,0.052328994504563,987.0243563636571,44.2197471529585,1.8086660632617024,677074
7,58619301,4,2021-09-03 08:01:10,37,16153,72,11766232,44,2021-09-03 08:01:10,2619201,1386090.422887058,2021-09-03 12:00:00,77648672,23,0.0002135363278396,29972,44904,4473106743,8671434.99493498,9418,261922,1130859105,749901.4271740693,7395,119151,642561539,1306981.2173561088,8570,146748,259204674,2890348.10875953,917,3383,3532,1215,157885.21198207652,26247.00258384017,40133.37459104481,96729.9939833229,56603.44935815211,15082.560289217372,51270.10240285096,20411.30142661434,72118969,9545,40198,256092552,1050763.1411047142,1152,23994,18187282,2738324.236110891,483,5315,28084992,660927.5819155874,1533,3349,42784367,55412.62167791155,1076,52,173,211,1543.673499757621,13719.440940446706,2514.64276931044,7238.61967156318,6640305,7965333,0.0862819195117329,3315240376,0.0527061849477145,682.2083077447863,35.77009684001225,-3.405107077466369,2146973
8,63758438,4,2021-09-03 08:01:20,16,7865,7,7144496,57,2021-09-03 08:01:20,3886863,948638.6466293512,2021-09-03 12:00:00,72973351,10,0.000576582731791,15582,787644,5149952078,1100268.8834785442,13966,252944,1132339657,963061.7999354536,14943,227082,307190012,1612151.3100158963,8097,96859,308380621,3236778.159236203,3177,3641,4762,4319,128777.2768152194,97962.05706682836,44479.64617574185,73740.56545621055,30824.65412683693,19715.3709680188,2009.200772380546,40656.02779308966,67856660,11528,42598,113852654,5519405.516245001,1583,13489,66493266,1488251.3253547377,2387,9499,54901023,1111019.630728522,1762,4203,11893846,619051.8744442683,121,88,31,123,39927.73506973944,6915.569128714928,7931.08023796788,1783.0690555312267,12204157,6595087,0.0252398637731667,1891682060,0.0465689721517955,168.74060481027468,40.15295535369617,-5.372770423828416,3851245
9,67095688,4,2021-09-03 08:01:30,45,11375,56,16233082,219,2021-09-03 08:01:30,3569256,667940.6158848293,2021-09-03 12:00:00,42176501,14,0.0005948061012682,22877,34619,3848038797,13611314.693634734,2175,12270,1566566921,497205.22912185633,16899,39866,652708848,4272447.15060757,2241,115921,376040900,3265328.895281996,8810,3978,1737,249,125119.6207883909,109324.72722061032,95581.4604988602,96010.9163488772,47226.45854036452,35536.68703236368,46028.10144936277,22287.689561561405,78036198,10511,79784,144890604,5665461.118378132,4366,18601,72691243,1963240.7103053224,2310,9743,17634176,533397.8097916527,851,9265,14494449,761782.6519466998,1174,289,17,25,15382.417100275576,3987.618293503816,14045.344053842298,6209.840858916876,7292745,1419271,0.0140861629430497,1964624044,0.0199172823739281,714.8389958347644,67.92232137157515,-1.596094409631199,3134333
