,job_unique_id,cluster_id,submit_time,partition_id_x,account_id,req_cpus,req_mem_total,req_tres,alloc_nodes,state,priority_x,eligible_time,start_time,elapsed_time,end_time,time_limit,job_summary_id,submit_wait,submit_wait_sec,eligible_wait,eligible_wait_sec,run_time,run_time_sec,job_augment_id,req_mem_per_cpu,time_limit_sec,poll_time,pending_id,poll_wait_sec,partition_id_y,priority_y,q_jobs_above,q_cores_above,q_mem_above,q_core_hours_above,q_core_run_hours,q_p_jobs_above,q_p_cores_above,q_p_mem_above,q_p_core_hours_above,q_p_core_run_hours,q_a_jobs_above,q_a_cores_above,q_a_mem_above,q_a_core_hours_above,q_a_core_run_hours,q_p_a_jobs_above,q_p_a_cores_above,q_p_a_mem_above,q_p_a_core_hours_above,q_p_a_core_run_hours,q_gpus_above,q_p_gpus_above,q_a_gpus_above,q_p_a_gpus_above,q_gpu_hours_above,q_p_gpu_hours_above,q_a_gpu_hours_above,q_p_a_gpu_hours_above,q_gpu_run_hours,q_p_gpu_run_hours,q_a_gpu_run_hours,q_p_a_gpu_run_hours,poll_wait,running_id,r_jobs_above,r_cores_above,r_mem_above,r_core_hours_above,r_p_jobs_above,r_p_cores_above,r_p_mem_above,r_p_core_hours_above,r_a_jobs_above,r_a_cores_above,r_a_mem_above,r_a_core_hours_above,r_p_a_jobs_above,r_p_a_cores_above,r_p_a_mem_above,r_p_a_core_hours_above,r_gpus_above,r_p_gpus_above,r_a_gpus_above,r_p_a_gpus_above,r_gpu_hours_above,r_p_gpu_hours_above,r_a_gpu_hours_above,r_p_a_gpu_hours_above,sshare_id,raw_share_poll,norm_share_poll,raw_use_poll,effect_use_poll,level_fs_poll,norm_use_poll,norm_use_log_poll
477,67852517,3,2021-06-28 04:21:17,21,18418,4,16384,"billing=4,cpu=4,mem=16384M,node=1",1,NODE_FAIL,1802532,2021-06-28 04:21:17,2021-06-29 00:02:59,289403,2021-07-02 08:26:22,7 days 00:00:00,67851558,0 days 19:41:42,70902,0 days 19:41:42,70902,3 days 08:23:23,289403,67851558,4096.0,604800,2021-06-28 12:00:00,70706476,43379,21,0.00041613564836000006,1566,18539,81989420,1066536.62,440279.42,48,2039,7682096,307063.82,181000.58,445,676,11223040,101472.0,30656.06,5,20,81920,2784.0,1152.17,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 12:02:59,70706476,4208,30766,100881104,1145767.2,455,2455,9384364,208321.87,221,973,4444160,72492.65,46,356,1458176,41737.0,0,0,0,0,0.0,0.0,0.0,0.0,11432287,406000,0.006815,421187535,0.013001,0.5241904468887009,1.9077035950110053,0.6459002124315358
478,67852540,3,2021-06-28 04:21:33,21,18418,4,16384,"billing=4,cpu=4,mem=16384M,node=1",1,COMPLETED,1802532,2021-06-28 04:21:33,2021-06-29 09:58:14,114607,2021-06-30 17:48:21,5 days 00:00:00,67851581,1 days 05:36:41,106601,1 days 05:36:41,106601,1 days 07:50:07,114607,67851581,4096.0,432000,2021-06-28 12:00:00,70706471,79094,21,0.00041613564836000006,1561,18519,81907500,1063752.62,439127.24,43,2019,7600176,304279.82,179848.4,440,656,11141120,98688.0,29503.89,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 21:58:14,70706471,4208,30766,100881104,1145767.2,455,2455,9384364,208321.87,221,973,4444160,72492.65,46,356,1458176,41737.0,0,0,0,0,0.0,0.0,0.0,0.0,11432287,406000,0.006815,421187535,0.013001,0.5241904468887009,1.9077035950110053,0.6459002124315358
479,67852527,3,2021-06-28 04:21:24,21,18418,4,16384,"billing=4,cpu=4,mem=16384M,node=1",1,COMPLETED,1802532,2021-06-28 04:21:24,2021-06-29 00:02:59,108127,2021-06-30 06:05:06,5 days 00:00:00,67851568,0 days 19:41:35,70895,0 days 19:41:35,70895,1 days 06:02:07,108127,67851568,4096.0,432000,2021-06-28 12:00:00,70706477,43379,21,0.00041613564836000006,1567,18543,82005804,1067208.62,440600.98,49,2043,7698480,307735.82,181322.14,446,680,11239424,102144.0,30977.62,6,24,98304,3456.0,1473.73,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 12:02:59,70706477,4208,30766,100881104,1145767.2,455,2455,9384364,208321.87,221,973,4444160,72492.65,46,356,1458176,41737.0,0,0,0,0,0.0,0.0,0.0,0.0,11432287,406000,0.006815,421187535,0.013001,0.5241904468887009,1.9077035950110053,0.6459002124315358
480,67852542,3,2021-06-28 04:21:36,21,18418,4,16384,"billing=4,cpu=4,mem=16384M,node=1",1,TIMEOUT,1802532,2021-06-28 04:21:36,2021-06-29 09:58:14,604825,2021-07-06 09:58:39,7 days 00:00:00,67851583,1 days 05:36:38,106598,1 days 05:36:38,106598,7 days 00:00:25,604825,67851583,4096.0,604800,2021-06-28 12:00:00,70706474,79094,21,0.00041613564836000006,1564,18531,81956652,1065384.62,439493.67,46,2031,7649328,305911.82,180214.83,443,668,11190272,100320.0,29870.31,3,12,49152,1632.0,366.43,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 21:58:14,70706474,4208,30766,100881104,1145767.2,455,2455,9384364,208321.87,221,973,4444160,72492.65,46,356,1458176,41737.0,0,0,0,0,0.0,0.0,0.0,0.0,11432287,406000,0.006815,421187535,0.013001,0.5241904468887009,1.9077035950110053,0.6459002124315358
481,67852530,3,2021-06-28 04:21:27,21,18418,4,16384,"billing=4,cpu=4,mem=16384M,node=1",1,TIMEOUT,1802532,2021-06-28 04:21:27,2021-06-29 09:58:14,604825,2021-07-06 09:58:39,7 days 00:00:00,67851571,1 days 05:36:47,106607,1 days 05:36:47,106607,7 days 00:00:25,604825,67851571,4096.0,604800,2021-06-28 12:00:00,70706478,79094,21,0.00041613564836000006,1568,18547,82022188,1067688.62,440721.12,50,2047,7714864,308215.82,181442.28,447,684,11255808,102624.0,31097.76,7,28,114688,3936.0,1593.87,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 21:58:14,70706478,4208,30766,100881104,1145767.2,455,2455,9384364,208321.87,221,973,4444160,72492.65,46,356,1458176,41737.0,0,0,0,0,0.0,0.0,0.0,0.0,11432287,406000,0.006815,421187535,0.013001,0.5241904468887009,1.9077035950110053,0.6459002124315358
482,67852561,3,2021-06-28 04:21:52,21,18418,4,16384,"billing=4,cpu=4,mem=16384M,node=1",1,COMPLETED,1802532,2021-06-28 04:21:52,2021-06-29 17:35:40,102346,2021-06-30 22:01:26,5 days 00:00:00,67851602,1 days 13:13:48,134028,1 days 13:13:48,134028,1 days 04:25:46,102346,67851602,4096.0,432000,2021-06-28 12:00:00,70706475,106540,21,0.00041613564836000006,1565,18535,81973036,1066056.62,440165.7,47,2035,7665712,306583.82,180886.86,444,672,11206656,100992.0,30542.34,4,16,65536,2304.0,1038.46,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1 days 05:35:40,70706475,4208,30766,100881104,1145767.2,455,2455,9384364,208321.87,221,973,4444160,72492.65,46,356,1458176,41737.0,0,0,0,0,0.0,0.0,0.0,0.0,11432287,406000,0.006815,421187535,0.013001,0.5241904468887009,1.9077035950110053,0.6459002124315358
483,67852553,3,2021-06-28 04:21:43,21,18418,4,16384,"billing=4,cpu=4,mem=16384M,node=1",1,COMPLETED,1802532,2021-06-28 04:21:43,2021-06-29 09:58:14,144863,2021-07-01 02:12:37,5 days 00:00:00,67851594,1 days 05:36:31,106591,1 days 05:36:31,106591,1 days 16:14:23,144863,67851594,4096.0,432000,2021-06-28 12:00:00,70706473,79094,21,0.00041613564836000006,1563,18527,81940268,1064904.62,439332.71,45,2027,7632944,305431.82,180053.87,442,664,11173888,99840.0,29709.36,2,8,32768,1152.0,205.47,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 21:58:14,70706473,4208,30766,100881104,1145767.2,455,2455,9384364,208321.87,221,973,4444160,72492.65,46,356,1458176,41737.0,0,0,0,0,0.0,0.0,0.0,0.0,11432287,406000,0.006815,421187535,0.013001,0.5241904468887009,1.9077035950110053,0.6459002124315358
484,67852556,3,2021-06-28 04:21:46,21,18418,4,16384,"billing=4,cpu=4,mem=16384M,node=1",1,TIMEOUT,1802532,2021-06-28 04:21:46,2021-06-29 09:58:14,604825,2021-07-06 09:58:39,7 days 00:00:00,67851597,1 days 05:36:28,106588,1 days 05:36:28,106588,7 days 00:00:25,604825,67851597,4096.0,604800,2021-06-28 12:00:00,70706485,79094,21,0.00041613564836000006,1575,18575,82136876,1071816.62,442312.12,57,2075,7829552,312343.82,183033.28,454,712,11370496,106752.0,32688.76,14,56,229376,8064.0,3184.87,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 21:58:14,70706485,4208,30766,100881104,1145767.2,455,2455,9384364,208321.87,221,973,4444160,72492.65,46,356,1458176,41737.0,0,0,0,0,0.0,0.0,0.0,0.0,11432287,406000,0.006815,421187535,0.013001,0.5241904468887009,1.9077035950110053,0.6459002124315358
485,67852577,3,2021-06-28 04:22:05,21,18418,4,16384,"billing=4,cpu=4,mem=16384M,node=1",1,NODE_FAIL,1802532,2021-06-28 04:22:05,2021-06-29 18:46:18,222002,2021-07-02 08:26:20,7 days 00:00:00,67851618,1 days 14:24:13,138253,1 days 14:24:13,138253,2 days 13:40:02,222002,67851618,4096.0,604800,2021-06-28 12:00:00,70706484,110778,21,0.00041613564836000006,1574,18571,82120492,1071144.62,442065.45,56,2071,7813168,311671.82,182786.61,453,708,11354112,106080.0,32442.09,13,52,212992,7392.0,2938.21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1 days 06:46:18,70706484,4208,30766,100881104,1145767.2,455,2455,9384364,208321.87,221,973,4444160,72492.65,46,356,1458176,41737.0,0,0,0,0,0.0,0.0,0.0,0.0,11432287,406000,0.006815,421187535,0.013001,0.5241904468887009,1.9077035950110053,0.6459002124315358
486,67852567,3,2021-06-28 04:21:56,21,18418,4,16384,"billing=4,cpu=4,mem=16384M,node=1",1,TIMEOUT,1802532,2021-06-28 04:21:56,2021-06-29 17:35:41,604807,2021-07-06 17:35:48,7 days 00:00:00,67851608,1 days 13:13:45,134025,1 days 13:13:45,134025,7 days 00:00:07,604807,67851608,4096.0,604800,2021-06-28 12:00:00,70706488,106541,21,0.00041613564836000006,1578,18587,82186028,1073640.62,443322.37,60,2087,7878704,314167.82,184043.53,457,724,11419648,108576.0,33699.01,17,68,278528,9888.0,4195.13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1 days 05:35:41,70706488,4208,30766,100881104,1145767.2,455,2455,9384364,208321.87,221,973,4444160,72492.65,46,356,1458176,41737.0,0,0,0,0,0.0,0.0,0.0,0.0,11432287,406000,0.006815,421187535,0.013001,0.5241904468887009,1.9077035950110053,0.6459002124315358
